iter	Passed	Remaining
572	4651	3466
573	4659	3458
574	4668	3450
575	4679	3444
576	4689	3438
577	4699	3431
578	4709	3424
579	4722	3419
580	4734	3414
581	4746	3409
582	4759	3404
583	4772	3399
584	4786	3395
585	4798	3389
586	4810	3384
587	4825	3381
588	4838	3376
589	4855	3374
590	4868	3369
591	4878	3362
592	4888	3354
593	4900	3349
594	4911	3343
595	4919	3334
596	4925	3325
597	4936	3318
598	4944	3309
599	4952	3301
600	4960	3293
601	4969	3285
602	4979	3278
603	4987	3269
604	4996	3262
605	5004	3253
606	5012	3245
607	5019	3236
608	5027	3227
609	5034	3218
610	5042	3210
611	5049	3201
612	5057	3192
613	5065	3184
614	5073	3175
615	5080	3167
616	5089	3159
617	5096	3150
618	5103	3141
619	5113	3134
620	5122	3126
621	5131	3118
622	5139	3109
623	5148	3102
624	5156	3093
625	5164	3085
626	5171	3076
627	5179	3067
628	5185	3058
629	5193	3049
630	5200	3041
631	5207	3032
632	5214	3023
633	5221	3014
634	5227	3004
635	5234	2995
636	5242	2987
637	5248	2978
638	5257	2970
639	5264	2961
640	5271	2952
641	5279	2943
642	5287	2935
643	5294	2926
644	5301	2918
645	5309	2909
646	5315	2900
647	5324	2892
648	5330	2883
649	5338	2874
650	5344	2865
651	5352	2857
652	5359	2847
653	5368	2840
654	5377	2832
655	5386	2824
656	5393	2815
657	5402	2807
658	5408	2798
659	5435	2800
660	5442	2791
661	5449	2782
662	5457	2774
663	5464	2765
664	5472	2756
665	5479	2747
666	5486	2738
667	5492	2729
668	5499	2721
669	5506	2712
670	5514	2703
671	5521	2694
672	5529	2686
673	5537	2678
674	5545	2669
675	5553	2661
676	5561	2653
677	5569	2645
678	5578	2637
679	5587	2629
680	5595	2621
681	5603	2612
682	5613	2605
683	5620	2596
684	5629	2588
685	5635	2579
686	5642	2570
687	5650	2562
688	5656	2553
689	5664	2545
690	5671	2536
691	5678	2527
692	5686	2519
693	5692	2509
694	5699	2501
695	5706	2492
696	5714	2484
697	5720	2475
698	5728	2466
699	5734	2457
700	5741	2448
701	5747	2440
702	5754	2431
703	5762	2422
704	5768	2413
705	5775	2405
706	5782	2396
707	5788	2387
708	5795	2378
709	5801	2369
710	5810	2361
711	5816	2352
712	5825	2344
713	5833	2336
714	5841	2328
715	5849	2320
716	5858	2312
717	5868	2304
718	5875	2296
719	5883	2287
720	5893	2280
721	5903	2273
722	5914	2265
723	5929	2260
724	5938	2252
725	5947	2244
726	5956	2236
727	5971	2231
728	5983	2224
729	5994	2217
730	6006	2210
731	6031	2208
732	6040	2200
733	6048	2191
734	6056	2183
735	6064	2175
736	6072	2166
737	6079	2158
738	6089	2150
739	6096	2142
740	6105	2133
741	6112	2125
742	6120	2116
743	6129	2109
744	6139	2101
745	6146	2092
746	6155	2084
747	6162	2076
748	6171	2068
749	6179	2059
750	6189	2052
751	6197	2043
752	6206	2035
753	6214	2027
754	6222	2019
755	6231	2011
756	6239	2003
757	6248	1994
758	6256	1986
759	6261	1977
760	6270	1969
761	6278	1960
762	6290	1953
763	6299	1945
764	6307	1937
765	6314	1929
766	6322	1920
767	6329	1912
768	6337	1903
769	6346	1895
770	6352	1886
771	6359	1878
772	6366	1869
773	6373	1861
774	6381	1852
775	6388	1844
776	6396	1835
777	6403	1827
778	6411	1818
779	6419	1810
780	6427	1802
781	6435	1793
782	6442	1785
783	6449	1777
784	6456	1768
785	6463	1759
786	6470	1751
787	6477	1742
788	6484	1734
789	6491	1725
790	6497	1716
791	6503	1708
792	6510	1699
793	6518	1691
794	6524	1682
795	6531	1673
796	6539	1665
797	6545	1656
798	6551	1648
799	6558	1639
800	6564	1630
801	6570	1622
802	6577	1613
803	6584	1605
804	6592	1596
805	6601	1588
806	6607	1580
807	6614	1571
808	6621	1563
809	6628	1554
810	6634	1546
811	6641	1537
812	6647	1528
813	6653	1520
814	6659	1511
815	6666	1503
816	6674	1495
817	6680	1486
818	6688	1478
819	6695	1469
820	6702	1461
821	6709	1452
822	6715	1444
823	6723	1436
824	6730	1427
825	6736	1419
826	6744	1410
827	6753	1402
828	6759	1394
829	6765	1385
830	6772	1377
831	6779	1368
832	6786	1360
833	6792	1351
834	6798	1343
835	6805	1335
836	6811	1326
837	6820	1318
838	6828	1310
839	6836	1302
840	6845	1294
841	6857	1286
842	6864	1278
843	6871	1270
844	6878	1261
845	6888	1253
846	6895	1245
847	6901	1237
848	6908	1228
849	6915	1220
850	6922	1212
851	6928	1203
852	6935	1195
853	6942	1186
854	6948	1178
855	6957	1170
856	6968	1162
857	6976	1154
858	6985	1146
859	6996	1138
860	7004	1130
861	7011	1122
862	7020	1114
863	7026	1106
864	7034	1097
865	7040	1089
866	7048	1081
867	7054	1072
868	7062	1064
869	7070	1056
870	7078	1048
871	7085	1040
872	7091	1031
873	7099	1023
874	7108	1015
875	7114	1007
876	7120	998
877	7128	990
878	7134	982
879	7141	973
880	7148	965
881	7154	957
882	7160	948
883	7167	940
884	7173	932
885	7178	923
886	7184	915
887	7189	906
888	7195	898
889	7201	890
890	7206	881
891	7213	873
892	7218	864
893	7224	856
894	7229	848
895	7235	839
896	7240	831
897	7246	823
898	7253	814
899	7260	806
900	7268	798
901	7275	790
902	7281	782
903	7287	773
904	7295	765
905	7301	757
906	7307	749
907	7312	740
908	7318	732
909	7324	724
910	7329	716
911	7334	707
912	7340	699
913	7345	691
914	7352	682
915	7358	674
916	7365	666
917	7373	658
918	7380	650
919	7388	642
920	7393	634
921	7400	626
922	7406	617
923	7411	609
924	7417	601
925	7423	593
926	7429	585
927	7434	576
928	7440	568
929	7445	560
930	7451	552
931	7457	544
932	7462	535
933	7468	527
934	7475	519
935	7480	511
936	7487	503
937	7492	495
938	7498	487
939	7504	479
940	7509	470
941	7515	462
942	7520	454
943	7526	446
944	7531	438
945	7537	430
946	7542	422
947	7548	414
948	7553	405
949	7559	397
950	7564	389
951	7572	381
952	7578	373
953	7584	365
954	7591	357
955	7597	349
956	7604	341
957	7611	333
958	7618	325
959	7624	317
960	7630	309
961	7636	301
962	7641	293
963	7647	285
964	7653	277
965	7659	269
966	7664	261
967	7670	253
968	7676	245
969	7683	237
970	7690	229
971	7694	221
972	7699	213
973	7706	205
974	7711	197
975	7716	189
976	7721	181
977	7728	173
978	7734	165
979	7740	157
980	7746	150
981	7751	142
982	7757	134
983	7762	126
984	7767	118
985	7773	110
986	7778	102
987	7784	94
988	7791	86
989	7797	78
990	7802	70
991	7809	62
992	7814	55
993	7819	47
994	7825	39
995	7830	31
996	7836	23
997	7843	15
998	7848	7
999	7854	0
